EIN2,CENSUS_REGION,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,CONGRESS_DISTRICT_NAME,SUBSECTOR,EXPENSE_CATEGORY,GOVERNMENT_GRANT_DOLLAR_AMOUNT,PROFIT_MARGIN,PROFIT_MARGIN_NOGOVTGRANT,AT_RISK_NUM
EIN-20-0265693,West North Central,St. Louis city,Missouri,1st Congressional district,Human services,$1M to $4.9M,74156,0.0927305518041709,0.0298237904895048,0
EIN-54-1244401,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),"International, foreign affairs",$1M to $4.9M,34242,0.0861176296475897,0.059161983422931,0
EIN-11-3679633,South Atlantic,Sussex County,Delaware,Congressional district (at large),Human services,$100K to $499K,356736,-0.0637221026950958,-1.06178884079826,1
EIN-36-2348569,East North Central,Kane County,Illinois,11th Congressional district,Unclassified,$100K to $499K,69683,0.424150959903326,0.233638446438433,0
EIN-27-3968567,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),Environment and animals,$5M to $9.9M,5812391,0.115998058632933,-0.884000564999065,1
EIN-47-3907004,East North Central,DuPage County,Illinois,3rd Congressional district,Human services,$500K to $999K,61378,-0.284127421056093,-0.433642783541569,1
EIN-34-1262368,East North Central,Cuyahoga County,Ohio,11th Congressional district,Unclassified,$1M to $4.9M,492681,-0.0713553623205998,-0.258240007525745,1
EIN-75-1882888,West South Central,Ector County,Texas,11th Congressional district,"Public, societal benefit",$100K to $499K,83429,-0.17903992927028,-0.623385546211326,1
EIN-39-1131530,East North Central,Dane County,Wisconsin,2nd Congressional district,"Arts, culture, and humanities",$1M to $4.9M,443342,0.00400497310288475,-0.279678168833388,1
EIN-22-3351733,Mid-Atlantic,Cape May County,New Jersey,2nd Congressional district,Human services,$1M to $4.9M,98947,0.278837643133389,0.21881064684917,0
EIN-31-1506457,East North Central,Champaign County,Ohio,4th Congressional district,Unclassified,$1M to $4.9M,436999,-0.0369090598043383,-0.191053599741798,1
EIN-47-6029817,West North Central,Dawson County,Nebraska,3rd Congressional district,Unclassified,$100K to $499K,108447,0.231106339637184,-0.365953698351089,1
EIN-76-0069658,West South Central,Fort Bend County,Texas,22nd Congressional district,Unclassified,$1M to $4.9M,22685,0.098676890420741,0.0815530081720586,0
EIN-59-1649814,South Atlantic,Highlands County,Florida,18th Congressional district,Unclassified,$1M to $4.9M,140518,0.120033568311514,0.0645400154019312,0
EIN-83-4360367,Mid-Atlantic,Dutchess County,New York,18th Congressional district,Education,$500K to $999K,202188,-0.1070741597567,-0.435548854981675,1
EIN-38-3909062,Mountain,Pima County,Arizona,7th Congressional district,"Public, societal benefit",$500K to $999K,473362,0.0187376752478457,-0.62061238823307,1
EIN-20-3702536,South Atlantic,Prince George's County,Maryland,4th Congressional district,Human services,$1M to $4.9M,1454654,0.13142251696764,-0.557250636286511,1
EIN-16-1604420,South Atlantic,Anne Arundel County,Maryland,3rd Congressional district,"Public, societal benefit",$100K to $499K,179236,-0.151936339522546,-0.574538166814029,1
EIN-27-4616034,East North Central,Wayne County,Michigan,12th Congressional district,Education,$500K to $999K,708629,-0.0438668180276595,-0.878349097486528,1
EIN-84-0770876,Mountain,Bent County,Colorado,4th Congressional district,Unclassified,$1M to $4.9M,19300,0.581309213214044,0.576094451493529,0
EIN-75-3047002,Pacific,San Diego County,California,51st Congressional district,"Public, societal benefit",$100K to $499K,66578,0.0196694122067837,-0.1241107948533,1
EIN-85-3045590,Pacific,Lane County,Oregon,4th Congressional district,Human services,$100K to $499K,277818,-0.00847505830157556,-0.93801463478287,1
EIN-20-1687674,West South Central,Bell County,Texas,31st Congressional district,Human services,$100K to $499K,68592,-0.749408537381889,-1.08126623800746,1
EIN-83-2772989,Mountain,Valencia County,New Mexico,1st Congressional district,Health,$100K to $499K,150910,0.527072076106318,0.0264965685152568,0
EIN-26-3945016,South Atlantic,St. Lucie County,Florida,21st Congressional district,Health,$500K to $999K,700836,0.115052012003545,-0.767132995649722,1
EIN-23-7075529,West South Central,Dallas County,Texas,24th Congressional district,Health,$1M to $4.9M,504700,0.437795609086355,0.354878436064157,0
EIN-23-7103775,Pacific,Los Angeles County,California,30th Congressional district,Human services,$1M to $4.9M,735394,0.278799688466098,0.0320308795732214,0
EIN-30-0218474,Pacific,Hawaii County,Hawaii,2nd Congressional district,Education,$100K to $499K,66549,0.421415259910619,0.301005988890698,0
EIN-91-1216841,Pacific,Spokane County,Washington,5th Congressional district,Unclassified,$1M to $4.9M,3722387,0.250739522586835,-0.48776866344709,1
EIN-02-6012537,New England,Merrimack County,New Hampshire,2nd Congressional district,Human services,$100K to $499K,40000,0.432777925830044,0.263575335338384,0
EIN-39-0826101,East North Central,Milwaukee County,Wisconsin,5th Congressional district,Human services,$1M to $4.9M,260806,-0.136781429700997,-0.280188117973481,1
EIN-82-1871782,Mountain,Yavapai County,Arizona,2nd Congressional district,"Arts, culture, and humanities",$100K to $499K,60114,0.0879994093632334,-0.0763780840946441,1
EIN-47-1915118,Mountain,Yellowstone County,Montana,2nd Congressional district,Health,$100K to $499K,13380,0.193193331195896,0.150294966335364,0
EIN-85-1441224,Pacific,Sacramento County,California,6th Congressional district,Education,$1M to $4.9M,2418736,0.0698202343702068,-0.893801946259152,1
EIN-80-0268721,East North Central,Kent County,Michigan,3rd Congressional district,Human services,$100K to $499K,16900,0.411108782225948,0.363878991126948,0
EIN-52-1402373,South Atlantic,Baltimore city,Maryland,7th Congressional district,Hospitals,$10M or more,121063,-0.0360640276348971,-0.0364871002600941,1
EIN-04-3241676,New England,Suffolk County,Massachusetts,7th Congressional district,Education,$5M to $9.9M,3416826,-0.109308799559462,-0.863136373624531,1
EIN-22-3565894,Mid-Atlantic,Essex County,New Jersey,8th Congressional district,Human services,$1M to $4.9M,360,0,-0.000295794298071914,1
EIN-20-2090446,East North Central,Outagamie County,Wisconsin,8th Congressional district,Hospitals,$10M or more,5347621,0.0768922542231972,-0.258491299227986,1
EIN-20-3797097,Mountain,Larimer County,Colorado,2nd Congressional district,Human services,$100K to $499K,22675,0.145279907659329,0.0518055899084838,0
EIN-23-7435490,New England,Middlesex County,Massachusetts,7th Congressional district,Unclassified,$100K to $499K,75686,-0.0872467944559396,-0.259527858015966,1
EIN-45-0488201,West South Central,Liberty County,Texas,36th Congressional district,Human services,$500K to $999K,903683,0.103965744363363,-0.74573332468292,1
EIN-34-1568473,East North Central,Cuyahoga County,Ohio,11th Congressional district,Human services,$500K to $999K,68028,-0.104761638583691,-0.216602521631481,1
EIN-84-2223405,Mountain,Boulder County,Colorado,2nd Congressional district,Human services,$1M to $4.9M,613286,0.212573903102131,-0.064996259302524,1
EIN-22-3091024,Mid-Atlantic,Monroe County,New York,25th Congressional district,Education,$100K to $499K,92716,0.106733376191408,-0.411566089946055,1
EIN-23-2613775,Mid-Atlantic,Bucks County,Pennsylvania,1st Congressional district,Human services,$100K to $499K,80200,0.195464174454829,-0.137661474558671,1
EIN-83-4003597,West South Central,Midland County,Texas,11th Congressional district,Human services,$1M to $4.9M,1014663,-0.534784170345736,-1.32192492294707,1
EIN-86-0766789,Mountain,Pima County,Arizona,7th Congressional district,Unclassified,$1M to $4.9M,2088736,-0.0110029815648883,-0.989432191063737,1
EIN-20-8038859,South Atlantic,Fulton County,Georgia,5th Congressional district,Human services,$10M or more,2566772,0.0271165104182025,-0.0102780514429377,1
EIN-85-2447423,South Atlantic,Union County,North Carolina,8th Congressional district,Education,$100K to $499K,11348,0.0240780505419818,-0.049097556729151,1
EIN-15-0532074,Mid-Atlantic,Oneida County,New York,22nd Congressional district,Unclassified,$1M to $4.9M,1732991,-0.0199728599649498,-0.5337748752771,1
EIN-54-0887738,South Atlantic,Rockingham County,Virginia,6th Congressional district,Unclassified,$5M to $9.9M,366671,0.131494784325947,0.0841173770867994,0
EIN-81-6016016,Mountain,Dawson County,Montana,2nd Congressional district,Hospitals,$10M or more,1556574,-0.0118839592601198,-0.0443374490422078,1
EIN-46-5141601,Pacific,Los Angeles County,California,44th Congressional district,Education,$1M to $4.9M,2670947,0.0546966644164155,-0.934924885826308,1
EIN-56-0963926,South Atlantic,Forsyth County,North Carolina,10th Congressional district,Human services,$10M or more,2513055,-0.0623000629274858,-0.130744223397068,1
EIN-20-5584526,East South Central,Williamson County,Tennessee,7th Congressional district,"Public, societal benefit",$100K to $499K,169557,0.210186104315338,-0.121137807861559,1
EIN-20-0473518,South Atlantic,Charleston County,South Carolina,6th Congressional district,Environment and animals,$1M to $4.9M,16772,-14.453203958975,-14.7039589749723,1
EIN-91-1079173,Pacific,King County,Washington,7th Congressional district,Human services,$1M to $4.9M,1175938,0.326418082577644,-0.316014066509437,1
EIN-52-1289626,South Atlantic,Charles County,Maryland,5th Congressional district,Health,$1M to $4.9M,503771,-0.033816963082969,-0.140266714449959,1
EIN-22-2804639,Mid-Atlantic,Dutchess County,New York,18th Congressional district,Unclassified,$500K to $999K,601012,-0.0136635817345937,-0.721958957400596,1
EIN-45-2694042,East North Central,Wayne County,Michigan,13th Congressional district,"Arts, culture, and humanities",$100K to $499K,41440,0.147668241043412,0.011935566284318,0
EIN-41-1993133,West North Central,Beltrami County,Minnesota,8th Congressional district,"Public, societal benefit",$500K to $999K,343999,-0.0566087544173343,-0.460209967101712,1
EIN-41-0912391,West North Central,Lincoln County,Minnesota,7th Congressional district,Hospitals,$100K to $499K,411840,0.776371013588535,-0.0688641741696751,1
EIN-72-1322404,West South Central,Calcasieu Parish,Louisiana,3rd Congressional district,Human services,$100K to $499K,8088,-3.47437504352065,-3.75597103265789,1
EIN-52-2446909,New England,Bristol County,Rhode Island,1st Congressional district,"Public, societal benefit",$500K to $999K,394600,-0.25343785179891,-0.858647006315893,1
EIN-61-1402829,Mid-Atlantic,Middlesex County,New Jersey,6th Congressional district,Human services,$1M to $4.9M,164500,0.0215042018151135,-0.069245957204542,1
EIN-43-1391798,West North Central,Audrain County,Missouri,6th Congressional district,Education,$100K to $499K,110000,-0.0797882880304358,-0.564154274970167,1
EIN-11-3022873,Mid-Atlantic,Kings County,New York,8th Congressional district,Unclassified,$500K to $999K,100100,0.321721442689013,0.21489432546306,0
EIN-25-1670408,Mid-Atlantic,Cumberland County,Pennsylvania,10th Congressional district,"Arts, culture, and humanities",$100K to $499K,314367,0.785129212034668,0.265558993276611,0
EIN-20-4959117,East North Central,Dane County,Wisconsin,2nd Congressional district,"Arts, culture, and humanities",$100K to $499K,206163,0.394022367022506,-0.201438952816674,1
EIN-46-2520196,East North Central,Kalamazoo County,Michigan,4th Congressional district,"Arts, culture, and humanities",$100K to $499K,10000,0.0729562218212938,0.0359094428534911,0
EIN-26-1347501,West South Central,Travis County,Texas,35th Congressional district,"Arts, culture, and humanities",$500K to $999K,161021,-0.102170397369295,-0.365471500963949,1
EIN-72-1372670,East South Central,Montgomery County,Alabama,2nd Congressional district,Unclassified,$100K to $499K,23384,0.00292724516862448,-0.0709138562586839,1
EIN-46-2731337,Pacific,Snohomish County,Washington,1st Congressional district,Human services,$100K to $499K,241213,0.338146326925942,-0.111140292057816,1
EIN-15-0545824,Mid-Atlantic,St. Lawrence County,New York,21st Congressional district,Unclassified,$500K to $999K,17687,-0.0957858198989844,-0.133039020342139,1
EIN-88-0389497,Mountain,Washoe County,Nevada,2nd Congressional district,"Arts, culture, and humanities",$100K to $499K,147203,0.242147731074148,-0.351142423008871,1
EIN-23-7148064,Mid-Atlantic,Chester County,Pennsylvania,6th Congressional district,Unclassified,$100K to $499K,468040,0.17003807080763,-0.782831490869114,1
EIN-13-1634966,Mid-Atlantic,New York County,New York,12th Congressional district,Education,$10M or more,486994,-0.0602207683817616,-0.070419431360362,1
EIN-23-2112492,Mid-Atlantic,Chester County,Pennsylvania,6th Congressional district,"Arts, culture, and humanities",$100K to $499K,31791,0.21949219811885,0.150355026368727,0
EIN-27-4682873,Pacific,Washington County,Oregon,6th Congressional district,Health,$500K to $999K,92155,0.628329594619014,0.575296056682669,0
EIN-58-1525533,East South Central,Hamblen County,Tennessee,1st Congressional district,Human services,$500K to $999K,374464,0.0397671439055639,-0.477779298087036,1
EIN-52-1736392,New England,Northwest Hills Planning Region,Connecticut,5th Congressional district,Human services,Less than $100K,27594,-0.383629417781767,-0.959668496753857,1
EIN-84-2963065,South Atlantic,Ohio County,West Virginia,2nd Congressional district,Unclassified,$1M to $4.9M,176774,-0.0042258878585425,-0.062747399829243,1
EIN-33-0350611,Pacific,San Bernardino County,California,23rd Congressional district,Unclassified,$1M to $4.9M,4006583,0.0329126801755796,-0.967590994879345,1
EIN-11-2136505,Mid-Atlantic,Nassau County,New York,3rd Congressional district,Human services,$1M to $4.9M,72551,0.202767218278363,0.157353615918265,0
EIN-38-2423480,East North Central,Kent County,Michigan,2nd Congressional district,Environment and animals,$1M to $4.9M,686923,0.121036384804699,-0.310564216111,1
EIN-74-2203509,West South Central,Brazoria County,Texas,14th Congressional district,Human services,$500K to $999K,539592,-0.240513688038789,-1.15241642598454,1
EIN-74-2441468,West South Central,Travis County,Texas,35th Congressional district,Environment and animals,$1M to $4.9M,968552,-0.00937914516427991,-0.369149038516899,1
EIN-20-4976317,Mid-Atlantic,New York County,New York,13th Congressional district,Human services,$500K to $999K,416196,0.0708843686513188,-0.630804117106561,1
EIN-16-1654889,Mid-Atlantic,Union County,Pennsylvania,15th Congressional district,Human services,$100K to $499K,40789,0.173065966287295,0.0597017829101875,0
EIN-93-1325820,Pacific,Jefferson County,Washington,6th Congressional district,Environment and animals,$100K to $499K,1107759,0.781755574276802,-0.0674148862530941,1
EIN-42-1189783,West North Central,Johnson County,Iowa,1st Congressional district,Health,$1M to $4.9M,402973,0.556186155247697,0.444432827728884,0
EIN-47-5483883,Pacific,San Joaquin County,California,9th Congressional district,Human services,$100K to $499K,72740,0.0685708793924512,-0.0740979735295733,1
EIN-45-3934671,Pacific,Skagit County,Washington,2nd Congressional district,"International, foreign affairs",$1M to $4.9M,168163,0.0115280681624674,-0.0342161571945493,1
EIN-38-1817220,East North Central,Calhoun County,Michigan,4th Congressional district,Unclassified,$100K to $499K,39015,-0.06168021583853,-0.148386767000173,1
EIN-74-2625197,West South Central,Bastrop County,Texas,10th Congressional district,Unclassified,$100K to $499K,374416,0.127750400906848,-0.714358650254039,1
EIN-57-0742866,South Atlantic,Barnwell County,South Carolina,2nd Congressional district,Health,$1M to $4.9M,1269307,0.0622290386577252,-0.811529306159986,1
EIN-35-1747987,East North Central,Marion County,Indiana,7th Congressional district,Unclassified,$1M to $4.9M,2952378,-0.00626397483582106,-1.00527118625715,1
EIN-25-6051082,Mid-Atlantic,Erie County,Pennsylvania,16th Congressional district,Unclassified,$100K to $499K,92729,0.015853749682357,-0.261367135532669,1
EIN-01-0842491,New England,Plymouth County,Massachusetts,9th Congressional district,"Arts, culture, and humanities",$100K to $499K,388088,-0.142214371417144,-1.13717914534472,1
EIN-82-0819172,Mid-Atlantic,Erie County,Pennsylvania,16th Congressional district,"Public, societal benefit",$100K to $499K,10000,-0.0898673430286663,-0.150691263860251,1
EIN-20-0792664,West North Central,Hennepin County,Minnesota,5th Congressional district,Human services,$100K to $499K,104828,0.120803156444497,-0.160178300516246,1
EIN-46-3848431,New England,Chittenden County,Vermont,Congressional district (at large),"Public, societal benefit",$500K to $999K,50111,0.389886693385839,0.348149647353569,0
EIN-23-2704222,Mid-Atlantic,Lancaster County,Pennsylvania,11th Congressional district,Human services,$100K to $499K,679657,0.50873029551752,-0.993068353065436,1
EIN-54-0517188,South Atlantic,Charlottesville city,Virginia,5th Congressional district,Education,$10M or more,421228,0.121823457523649,0.112641745249881,0
EIN-56-1921263,South Atlantic,Brunswick County,North Carolina,7th Congressional district,Education,$1M to $4.9M,624363,0.100336320984748,-0.424629626515546,1
EIN-85-0338419,Mountain,Bernalillo County,New Mexico,1st Congressional district,"International, foreign affairs",$100K to $499K,263396,-0.023450665619903,-0.914765459504457,1
EIN-81-3792859,South Atlantic,Arlington County,Virginia,8th Congressional district,"Public, societal benefit",$100K to $499K,36705,-0.272469361531624,-0.441516333608132,1
EIN-83-2740232,West South Central,Travis County,Texas,37th Congressional district,Environment and animals,$1M to $4.9M,229131,0.0113392659936018,-0.151914102299203,1
EIN-22-3697561,Mid-Atlantic,Ocean County,New Jersey,4th Congressional district,Education,$1M to $4.9M,2157438,0.221063309304777,-0.161737195953181,1
EIN-94-6121751,Pacific,Fresno County,California,5th Congressional district,Human services,$1M to $4.9M,25000,-0.0532408696136288,-0.0677390695171288,1
EIN-41-1297735,West North Central,Hennepin County,Minnesota,5th Congressional district,"Arts, culture, and humanities",$1M to $4.9M,180898,0.209726107901244,0.140558918364608,0
EIN-35-1371205,East North Central,Putnam County,Indiana,4th Congressional district,Human services,Less than $100K,20000,0.126452306807239,-0.123675883890494,1
EIN-06-1463501,New England,Western Connecticut Planning Region,Connecticut,4th Congressional district,"Arts, culture, and humanities",$1M to $4.9M,4678267,0.58165014860042,0.116249350261761,0
EIN-06-1245514,New England,Southeastern Connecticut Planning Region,Connecticut,2nd Congressional district,Unclassified,$1M to $4.9M,1295923,0.0717871058538912,-0.531129022878212,1
EIN-22-2475551,New England,Middlesex County,Massachusetts,5th Congressional district,"Public, societal benefit",$1M to $4.9M,49826,0.23566144339369,0.20076850461635,0
EIN-36-2999043,East North Central,Jo Daviess County,Illinois,16th Congressional district,Health,$100K to $499K,35522,0.19984761980151,0.129550874207178,0
EIN-23-7326213,New England,Windsor County,Vermont,Congressional district (at large),Health,$1M to $4.9M,1025109,0.0794414444608951,-0.47650494956611,1
EIN-16-1145993,Mid-Atlantic,Herkimer County,New York,21st Congressional district,Environment and animals,$100K to $499K,52125,0.303908083567389,0.178564214535801,0
EIN-25-1142669,Mid-Atlantic,Allegheny County,Pennsylvania,12th Congressional district,Human services,$500K to $999K,151807,0.123507980281618,-0.105134581119935,1
EIN-33-0803517,Pacific,Kauai County,Hawaii,2nd Congressional district,"Public, societal benefit",$100K to $499K,26901,0.513368042652564,0.408140913055893,0
EIN-47-4484212,Mid-Atlantic,Ulster County,New York,19th Congressional district,Universities,$500K to $999K,60283,0.290118553986969,0.241211484963123,0
EIN-22-2026610,Mid-Atlantic,Middlesex County,New Jersey,6th Congressional district,Unclassified,$1M to $4.9M,2011826,0.223913115888461,-0.316500535088021,1
EIN-46-0987167,Pacific,Multnomah County,Oregon,3rd Congressional district,Education,$1M to $4.9M,3078354,0.215801669922205,-0.322854542626202,1
EIN-23-7281887,New England,Worcester County,Massachusetts,2nd Congressional district,Human services,$1M to $4.9M,540908,0.266799441929179,0.160985865127147,0
EIN-91-2106274,Pacific,San Francisco County,California,11th Congressional district,"Public, societal benefit",$1M to $4.9M,350221,0.148222595457487,0.0807665490461956,0
EIN-58-2653651,South Atlantic,Colquitt County,Georgia,8th Congressional district,Human services,$100K to $499K,316692,0.0397553884518917,-0.721810875739161,1
EIN-20-0198462,West South Central,Webb County,Texas,28th Congressional district,Health,$1M to $4.9M,116703,-0.727098235923579,-0.784994411451143,1
EIN-26-2809132,West South Central,Canadian County,Oklahoma,5th Congressional district,Human services,Less than $100K,16199,0.190702043456167,-0.0587474399051418,1
EIN-95-3186429,Pacific,Los Angeles County,California,34th Congressional district,Human services,$10M or more,12223809,0.0245970244597746,-0.838425639629174,1
EIN-73-0580283,West South Central,Tulsa County,Oklahoma,1st Congressional district,"Public, societal benefit",$10M or more,12104,0.0100824372412352,0.00961859147776915,0
EIN-57-1206447,East North Central,Medina County,Ohio,7th Congressional district,"Public, societal benefit",$100K to $499K,30000,0.282260218347514,0.118744856079229,0
EIN-86-0363717,Mountain,Pima County,Arizona,7th Congressional district,Unclassified,$10M or more,7461054,0.0594392135629377,-0.140471434178241,1
EIN-74-1621647,West South Central,Harris County,Texas,18th Congressional district,"Arts, culture, and humanities",$10M or more,7502924,0.234365606566329,-0.135295597454529,1
EIN-51-6028721,South Atlantic,New Castle County,Delaware,Congressional district (at large),Human services,$1M to $4.9M,1457069,0.222417566961735,-0.531016809012655,1
EIN-20-4548573,West North Central,Jones County,Iowa,1st Congressional district,"Arts, culture, and humanities",$100K to $499K,65080,0.230759725135579,0.128960404944807,0
EIN-61-1625859,East North Central,Kent County,Michigan,3rd Congressional district,Human services,$100K to $499K,21960,-0.209647033732627,-0.339743361888174,1
EIN-47-0376893,West North Central,Lancaster County,Nebraska,1st Congressional district,Human services,$100K to $499K,67845,0.355424199714878,0.218037195438051,0
EIN-38-3017929,East North Central,Isabella County,Michigan,2nd Congressional district,Human services,$100K to $499K,25892,0.437969086944475,0.385981503567972,0
EIN-56-1519649,South Atlantic,Moore County,North Carolina,9th Congressional district,Health,$100K to $499K,86629,0.0533500170629052,-0.375097060729105,1
EIN-75-6040714,West South Central,Wood County,Texas,5th Congressional district,Human services,$1M to $4.9M,121084,0.263361111191375,0.175892643009255,0
EIN-41-1452216,West North Central,Waseca County,Minnesota,1st Congressional district,Human services,$100K to $499K,34598,0.0913394654161496,0.0210730264854798,0
EIN-41-0976048,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),Education,$1M to $4.9M,1665232,0.0454249968488209,-0.389145956091223,1
EIN-72-0680352,West South Central,Morehouse Parish,Louisiana,5th Congressional district,Unclassified,$1M to $4.9M,2986058,-0.138437154873873,-1.11124341511567,1
EIN-75-6216675,West South Central,Swisher County,Texas,19th Congressional district,Unclassified,$100K to $499K,99777,-0.022568301794298,-0.475464007371465,1
EIN-59-2465234,South Atlantic,Hillsborough County,Florida,14th Congressional district,Unclassified,$500K to $999K,141479,0.00813180471086689,-0.185356186995951,1
EIN-58-2591685,South Atlantic,Clarke County,Georgia,10th Congressional district,"Public, societal benefit",$100K to $499K,163570,-0.266346401549485,-1.04667061034835,1
EIN-91-1757244,Pacific,Multnomah County,Oregon,1st Congressional district,Health,$100K to $499K,260000,-0.12866240530303,-0.744192708333333,1
EIN-22-2579445,New England,Capitol Planning Region,Connecticut,1st Congressional district,Human services,$100K to $499K,67780,0.0554177110765619,-0.159640828759082,1
EIN-95-2253027,Pacific,San Diego County,California,50th Congressional district,"Public, societal benefit",$5M to $9.9M,2887417,0.335737091828756,-0.0452964592222997,1
EIN-94-3360013,Pacific,San Francisco County,California,11th Congressional district,Human services,$1M to $4.9M,179462,0.0728808076810375,-0.0637080109750853,1
EIN-04-3581405,New England,Middlesex County,Massachusetts,5th Congressional district,"Public, societal benefit",$100K to $499K,174417,0.0663156059475098,-0.40883408975749,1
EIN-23-2522649,Mid-Atlantic,Lycoming County,Pennsylvania,9th Congressional district,Health,$1M to $4.9M,1784007,0.0693001210452971,-0.600091252995177,1
EIN-52-1188939,South Atlantic,Queen Anne's County,Maryland,1st Congressional district,Environment and animals,$500K to $999K,194258,0.118841678950155,-0.159158235184682,1
EIN-71-0597729,West South Central,Randolph County,Arkansas,1st Congressional district,Unclassified,$100K to $499K,53602,0.171923157855649,-0.159817549418857,1
