NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
A1165,MS-ART-A65,Monetary Support - Single Organization,Providing support to organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61),Unmapped
A1169,MS-ART-A69,Monetary Support - Single Organization,Providing support to organizations whose primary activity is the operation of a symphony,Unmapped
A1170,MS-ART-A70,Monetary Support - Single Organization,"Providing support to organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).",Unmapped
A1180,MS-ART-A80,Monetary Support - Single Organization,Providing support to organizations that promote awareness of and appreciation for history and historical artifacts.  Use this code for organizations that are not specified below.,Unmapped
A12,MM-ART-A00,Monetary Support - Multiple Organizations,NA,Unmapped
A1226,MM-ART-A26,Monetary Support - Multiple Organizations,"Providing support to organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.",Unmapped
A1230,MM-ART-A30,Monetary Support - Multiple Organizations,"Providing support to organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.",Unmapped
A1232,MM-ART-A32,Monetary Support - Multiple Organizations,"Providing support to organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.",Unmapped
A1260,MM-ART-A60,Monetary Support - Multiple Organizations,"Providing support to organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.",Unmapped
A1261,MM-ART-A61,Monetary Support - Multiple Organizations,Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A1265,MM-ART-A65,Monetary Support - Multiple Organizations,Providing support to organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61),Unmapped
A19,NS-ART-A00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
A1920,NS-ART-A20,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.",Unmapped
A1961,NS-ART-A61,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations that operate facilities including theaters for the performing arts.,Unmapped
A1969,NS-ART-A69,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations whose primary activity is the operation of a symphony,Unmapped
A20,RG-ART-A20,"Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.",NA,Unmapped
A23,RG-ART-A23,"Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.",NA,Unmapped
A24,RG-ART-A24,"Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures
and organizations that perform, present and support folk art in a specific region.",NA,Unmapped
A25,RG-ART-A25,Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.,NA,Unmapped
A26,RG-ART-A26,"Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.",NA,Unmapped
A27,RG-ART-A27,"Organizations that are engaged in the promotion, production or performance of community and public celebratory events.",NA,Unmapped
A30,RG-ART-A30,"Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.",NA,Unmapped
A31,RG-ART-A31,"Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.",NA,Unmapped
A32,RG-ART-A32,"Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.",NA,Unmapped
A33,RG-ART-A33,Organizations that publish a variety of materials on diverse topics. Includes university presses.,NA,Unmapped
A34,RG-ART-A34,"Organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services).",NA,Unmapped
A40,RG-ART-A40,Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.,NA,Unmapped
A50,RG-ART-A50,"Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.",NA,Unmapped
A51,RG-ART-A51,"Organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style.",NA,Unmapped
A52,RG-ART-A52,"Organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits.  NOTE:  See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children.",NA,Unmapped
A53,RG-ART-A53,"Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans.",NA,Unmapped
A54,RG-ART-A54,"Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.",NA,Unmapped
A56,RG-ART-A56,"Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology.",NA,Unmapped
A57,RG-ART-A57,Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.,NA,Unmapped
A60,RG-ART-A60,"Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.",NA,Unmapped
A61,RG-ART-A61,Organizations that operate facilities including theaters for the performing arts.,NA,Unmapped
A62,RG-ART-A62,"Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.",NA,Unmapped
A63,RG-ART-A63,Dance organizations that create and/or perform primarily ballet.,NA,Unmapped
A65,RG-ART-A65,Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61),NA,Unmapped
A68,RG-ART-A68,"Organizations whose primary activity is the production of musical events, including concert series and music festivals.",NA,Unmapped
A69,RG-ART-A69,Organizations whose primary activity is the operation of a symphony,NA,Unmapped
A6A,RG-ART-A6A,Organizations whose primary activity is the production of operas.,NA,Unmapped
A6B,RG-ART-A6B,"Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles.",NA,Unmapped
A6C,RG-ART-A6C,"Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues.",NA,Unmapped
A6E,RG-ART-A6E,Organizations that offer classes in the performing arts but do not confer academic degrees.,NA,Unmapped
A70,RG-ART-A70,"Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).",NA,Unmapped
A80,RG-ART-A80,Organizations that promote awareness of and appreciation for history and historical artifacts.  Use this code for organizations that are not specified below.,NA,Unmapped
A82,RG-ART-A82,"Organizations that interpret, collect and preserve the historical heritage of a specific geographic location.",NA,Unmapped
A84,RG-ART-A84,"Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.",NA,Unmapped
A90,RG-ART-A90,Organizations that provide services such as facilities or touring assistance for arts organizations.,NA,Unmapped
A99,RG-ART-A99,Organizations that provide arts and humanities services or products not covered by other categories.,NA,Unmapped
B01,AA-EDU-B00,Alliance/Advocacy Organizations,NA,Unmapped
B0120,AA-EDU-B20,Alliance/Advocacy Organizations,"Providing support to preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",Education
B0121,AA-EDU-B21,Alliance/Advocacy Organizations,Providing support to separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.,Education
B0129,AA-EDU-B29,Alliance/Advocacy Organizations,"Providing support to schools run independently of the traditional public school system but receiving public funding and operating by a charter.  This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success.",Education
B0130,AA-EDU-B30,Alliance/Advocacy Organizations,"Providing support to separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.",Unmapped
B0140,AA-EDU-B40,Alliance/Advocacy Organizations,"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B0143,AA-EDU-B43,Alliance/Advocacy Organizations,Providing support to postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.,Unmapped
B0182,AA-EDU-B82,Alliance/Advocacy Organizations,Providing support to organizations that enable students who demonstrate financial need  to obtain the financial assistance they require to meet their educational and living expenses while in school.,Unmapped
B02,MT-EDU-B00,Management and Technical Assistance,NA,Unmapped
B0220,MT-EDU-B20,Management and Technical Assistance,"Providing support to preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",Education
B0240,MT-EDU-B40,Management and Technical Assistance,"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B0241,MT-EDU-B41,Management and Technical Assistance,"Providing support to postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate.",Unmapped
B0250,MT-EDU-B50,Management and Technical Assistance,"Providing support to separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.",Unmapped
B0270,MT-EDU-B70,Management and Technical Assistance,"Providing support to facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.",Unmapped
B0280,MT-EDU-B80,Management and Technical Assistance,"Providing support to organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.",Education
B0282,MT-EDU-B82,Management and Technical Assistance,Providing support to organizations that enable students who demonstrate financial need  to obtain the financial assistance they require to meet their educational and living expenses while in school.,Unmapped
B03,PA-EDU-B00,Professional Societies/Associations,NA,Unmapped
B0320,PA-EDU-B20,Professional Societies/Associations,"Providing support to preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",Education
B0325,PA-EDU-B25,Professional Societies/Associations,Providing support to schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.,Education
B0330,PA-EDU-B30,Professional Societies/Associations,"Providing support to separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.",Unmapped
B0340,PA-EDU-B40,Professional Societies/Associations,"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B0342,PA-EDU-B42,Professional Societies/Associations,Providing support to educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.,Unmapped
B0343,PA-EDU-B43,Professional Societies/Associations,Providing support to postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.,Unmapped
B0350,PA-EDU-B50,Professional Societies/Associations,"Providing support to separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.",Unmapped
B0370,PA-EDU-B70,Professional Societies/Associations,"Providing support to facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.",Unmapped
B0380,PA-EDU-B80,Professional Societies/Associations,"Providing support to organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.",Education
B0382,PA-EDU-B82,Professional Societies/Associations,Providing support to organizations that enable students who demonstrate financial need  to obtain the financial assistance they require to meet their educational and living expenses while in school.,Unmapped
B0390,PA-EDU-B90,Professional Societies/Associations,"Providing support to organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life.  Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.",Unmapped
B0394,PA-EDU-B94,Professional Societies/Associations,"Providing support to organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children.",Education
B05,RP-EDU-B00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
B0530,RP-EDU-B30,Research Institutes and/or Public Policy Analysis,"Providing support to separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.",Unmapped
B0540,RP-EDU-B40,Research Institutes and/or Public Policy Analysis,"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B0582,RP-EDU-B82,Research Institutes and/or Public Policy Analysis,Providing support to organizations that enable students who demonstrate financial need  to obtain the financial assistance they require to meet their educational and living expenses while in school.,Unmapped
B11,MS-EDU-B00,Monetary Support - Single Organization,NA,Unmapped
B1120,MS-EDU-B20,Monetary Support - Single Organization,"Providing support to preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",Education
B1125,MS-EDU-B25,Monetary Support - Single Organization,Providing support to schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.,Education
B1129,MS-EDU-B29,Monetary Support - Single Organization,"Providing support to schools run independently of the traditional public school system but receiving public funding and operating by a charter.  This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success.",Education
B1130,MS-EDU-B30,Monetary Support - Single Organization,"Providing support to separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.",Unmapped
B1140,MS-EDU-B40,Monetary Support - Single Organization,"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B1141,MS-EDU-B41,Monetary Support - Single Organization,"Providing support to postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate.",Unmapped
B1142,MS-EDU-B42,Monetary Support - Single Organization,Providing support to educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.,Unmapped
B1143,MS-EDU-B43,Monetary Support - Single Organization,Providing support to postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.,Unmapped
B1150,MS-EDU-B50,Monetary Support - Single Organization,"Providing support to separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.",Unmapped
B1170,MS-EDU-B70,Monetary Support - Single Organization,"Providing support to facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.",Education
B1180,MS-EDU-B80,Monetary Support - Single Organization,"Providing support to organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.",Education
B1183,MS-EDU-B83,Monetary Support - Single Organization,"Providing support to associations for male and female students which are chapters of national or international organizations, have secret rites and restricted membership, and may undertake, as a part of their activities, community improvement or charitable projects. Included are student sororities and fraternities and honorary societies that represent specific academic disciplines.",Unmapped
B1184,MS-EDU-B84,Monetary Support - Single Organization,"Providing support to organizations whose members are graduates of a particular educational institution who provide support for the institution in the form of financial contributions, student recruitment efforts, promotional activities, fund-raising events and continued ties with the academic program.",Unmapped
B1190,MS-EDU-B90,Monetary Support - Single Organization,"Providing support to organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life.  Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.",Education
B1194,MS-EDU-B94,Monetary Support - Single Organization,"Providing support to organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children.",Education
B12,MM-EDU-B00,Monetary Support - Multiple Organizations,NA,Unmapped
B1220,MM-EDU-B20,Monetary Support - Multiple Organizations,"Providing support to preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",Unmapped
B1240,MM-EDU-B40,Monetary Support - Multiple Organizations,"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B1243,MM-EDU-B43,Monetary Support - Multiple Organizations,Providing support to postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.,Unmapped
B1250,MM-EDU-B50,Monetary Support - Multiple Organizations,"Providing support to separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.",Unmapped
B1280,MM-EDU-B80,Monetary Support - Multiple Organizations,"Providing support to organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.",Education
B1282,MM-EDU-B82,Monetary Support - Multiple Organizations,Providing support to organizations that enable students who demonstrate financial need  to obtain the financial assistance they require to meet their educational and living expenses while in school.,Unmapped
B1290,MM-EDU-B90,Monetary Support - Multiple Organizations,"Providing support to organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life.  Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.",Education
B19,NS-EDU-B00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
B1920,NS-EDU-B20,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",Education
B1921,NS-EDU-B21,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.,Education
B1925,NS-EDU-B25,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.,Education
B1930,NS-EDU-B30,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.",Unmapped
B1940,NS-EDU-B40,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",Unmapped
B1943,NS-EDU-B43,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.,Unmapped
B1950,NS-EDU-B50,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.",Unmapped
B1960,NS-EDU-B60,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest.",Unmapped
B1982,NS-EDU-B82,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations that enable students who demonstrate financial need  to obtain the financial assistance they require to meet their educational and living expenses while in school.,Unmapped
B20,RG-EDU-B20,"Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",NA,Education
B21,RG-EDU-B21,Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.,NA,Education
B24,RG-EDU-B24,Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.,NA,Education
