Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Kittson County,66.67%,3,"$624,752",-3.64%,-6.66%
Koochiching County,60.00%,10,"$5,953,839",28.32%,-3.74%
Lac qui Parle County,100.00%,4,"$1,172,598",0.29%,-81.61%
Lake County,70.59%,17,"$5,283,206",16.14%,-8.64%
Lake of the Woods County,100.00%,3,"$1,006,329",28.33%,-15.73%
Le Sueur County,50.00%,4,"$2,125,956",23.74%,-23.39%
Lincoln County,50.00%,4,"$7,107,441",4.14%,-0.71%
Lyon County,75.00%,16,"$35,776,537",6.01%,-17.00%
Mahnomen County,100.00%,1,"$3,876,781",3.93%,-95.52%
Marshall County,66.67%,6,"$3,817,728",16.04%,-7.68%
Martin County,50.00%,14,"$6,998,795",18.82%,-5.24%
McLeod County,46.67%,15,"$12,846,019",12.39%,0.45%
Meeker County,60.00%,5,"$3,680,057",19.70%,-14.51%
Mille Lacs County,50.00%,6,"$1,773,185",20.71%,0.06%
Morrison County,62.96%,27,"$9,114,790",9.25%,-8.43%
Mower County,81.25%,16,"$6,812,319",8.85%,-20.11%
Murray County,66.67%,6,"$2,277,754",6.66%,-2.00%
Nicollet County,42.86%,14,"$11,164,066",15.92%,6.48%
Nobles County,58.33%,12,"$7,795,719",15.18%,-5.34%
Norman County,25.00%,4,"$661,322",34.32%,25.92%
Olmsted County,67.61%,71,"$484,364,975",5.99%,-11.72%
Otter Tail County,76.92%,26,"$18,843,925",9.59%,-20.47%
Pennington County,75.00%,4,"$4,418,084",16.90%,-36.80%
Pine County,50.00%,12,"$4,819,614",8.92%,0.38%
Pipestone County,50.00%,8,"$1,496,182",15.19%,-0.95%
Polk County,58.33%,12,"$40,610,306",11.91%,-11.29%
Pope County,75.00%,8,"$1,992,026",3.19%,-10.06%
Ramsey County,77.02%,583,"$994,243,821",3.42%,-31.68%
Red Lake County,100.00%,2,"$4,454,172",6.27%,-47.39%
Redwood County,71.43%,7,"$815,746",-6.10%,-32.57%
Renville County,53.85%,13,"$1,477,443",13.47%,-2.29%
Rice County,64.29%,42,"$39,697,099",14.16%,-5.93%
Rock County,55.56%,9,"$1,151,518",7.43%,-2.83%
Roseau County,50.00%,2,"$90,134",-32.81%,-50.34%
Scott County,58.82%,17,"$9,615,671",17.33%,-16.43%
Sherburne County,56.25%,16,"$13,408,328",7.66%,-9.88%
Sibley County,50.00%,10,"$5,198,537",21.10%,-3.13%
St. Louis County,70.59%,153,"$214,793,532",8.34%,-13.06%
Stearns County,62.26%,53,"$108,084,972",13.68%,-11.23%
Steele County,44.44%,18,"$16,949,668",19.66%,7.30%
Stevens County,75.00%,8,"$7,725,413",7.48%,-7.39%
Swift County,60.00%,5,"$1,142,198",19.84%,-4.13%
Todd County,44.44%,9,"$5,318,684",5.55%,2.65%
Traverse County,33.33%,3,"$441,740",8.31%,3.02%
Wabasha County,40.00%,5,"$2,678,598",23.21%,8.79%
Wadena County,40.00%,5,"$10,523,334",14.59%,3.95%
Waseca County,66.67%,12,"$5,574,672",6.62%,-21.36%
Washington County,64.15%,53,"$59,545,453",12.29%,-6.82%
Watonwan County,50.00%,2,"$534,114",7.86%,5.82%
Wilkin County,33.33%,3,"$953,879",7.83%,5.11%
Winona County,68.00%,25,"$20,604,615",4.42%,-17.31%
Wright County,89.47%,19,"$21,333,553",1.74%,-20.83%
Yellow Medicine County,50.00%,8,"$6,201,926",13.55%,2.84%
