Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
King William County,100.00%,4,"$3,972,442",0.76%,-75.19%
King and Queen County,100.00%,1,"$66,349",-4.64%,-37.63%
Lancaster County,33.33%,3,"$306,340",16.91%,10.40%
Lee County,100.00%,2,"$13,909,554",4.55%,-62.37%
Lexington city,60.00%,10,"$4,467,482",11.90%,-4.71%
Loudoun County,61.29%,93,"$63,148,319",12.62%,-5.26%
Louisa County,75.00%,12,"$2,600,546",21.14%,-60.09%
Lunenburg County,100.00%,3,"$4,365,119",-18.98%,-60.15%
Lynchburg city,58.70%,46,"$88,944,143",12.67%,-6.53%
Madison County,87.50%,8,"$3,333,775",2.92%,-25.09%
Manassas city,66.67%,18,"$20,435,759",1.75%,-15.22%
Martinsville city,68.75%,16,"$13,771,427",17.14%,-12.65%
Mathews County,60.00%,5,"$820,942",5.86%,-42.94%
Mecklenburg County,83.33%,18,"$6,834,365",10.53%,-34.11%
Middlesex County,70.00%,10,"$11,213,068",16.68%,-33.71%
Montgomery County,59.52%,42,"$152,667,434",15.97%,-5.20%
Nelson County,57.14%,14,"$4,237,068",7.36%,-4.78%
New Kent County,100.00%,2,"$550,972",5.99%,-88.47%
Newport News city,62.50%,32,"$48,938,102",5.93%,-7.89%
Norfolk city,69.33%,75,"$85,247,760",4.89%,-14.94%
Northampton County,50.00%,14,"$6,166,996",18.76%,-0.76%
Northumberland County,53.85%,13,"$1,778,995",20.96%,-5.49%
Norton city,100.00%,3,"$4,265,937",38.45%,-26.92%
Nottoway County,57.14%,7,"$1,075,283",21.12%,-1.89%
Orange County,58.33%,12,"$2,843,558",8.28%,-12.25%
Page County,85.71%,7,"$1,583,969",19.13%,-40.05%
Patrick County,88.89%,9,"$537,847",-39.79%,-54.43%
Petersburg city,72.73%,11,"$3,546,477",5.30%,-49.60%
Pittsylvania County,77.78%,18,"$7,553,614",18.44%,-13.28%
Poquoson city,50.00%,2,"$18,341",0.25%,-55.80%
Portsmouth city,66.67%,9,"$9,599,003",20.37%,-37.89%
Powhatan County,0.00%,3,"$101,997",44.43%,36.94%
Prince Edward County,81.25%,16,"$24,436,508",3.21%,-31.50%
Prince George County,66.67%,3,"$3,409,997",-8.36%,-38.82%
Prince William County,71.74%,46,"$55,863,236",4.44%,-17.57%
Pulaski County,66.67%,9,"$1,272,107",-0.69%,-9.69%
Radford city,75.00%,4,"$8,803,688",7.32%,-74.89%
Rappahannock County,70.00%,10,"$1,517,334",30.07%,-9.86%
Richmond County,75.00%,4,"$2,714,330",19.40%,-53.92%
Richmond city,56.98%,172,"$199,486,426",16.05%,-7.18%
Roanoke County,41.67%,12,"$7,989,141",10.72%,0.55%
Roanoke city,81.16%,69,"$67,921,219",5.50%,-19.28%
Rockbridge County,70.59%,17,"$8,053,418",11.24%,-13.71%
Rockingham County,69.57%,23,"$9,485,761",8.69%,-10.30%
Russell County,85.71%,7,"$4,230,841",-0.81%,-53.69%
Salem city,85.71%,7,"$5,870,896",0.86%,-3.93%
Scott County,100.00%,12,"$6,944,224",11.38%,-33.98%
Shenandoah County,60.00%,25,"$9,571,552",8.36%,-9.53%
Smyth County,77.78%,9,"$7,063,838",18.14%,-39.34%
Southampton County,83.33%,6,"$5,444,240",9.05%,-38.72%
Spotsylvania County,60.00%,15,"$12,701,657",0.41%,-22.60%
Stafford County,63.64%,11,"$4,732,035",9.31%,-7.48%
Staunton city,55.56%,27,"$9,674,289",14.43%,-4.91%
Suffolk city,62.50%,8,"$2,139,348",9.63%,-8.59%
Surry County,0.00%,1,"$38,201",11.58%,5.83%
Sussex County,66.67%,3,"$1,340,155",12.77%,-4.35%
Tazewell County,81.82%,11,"$15,729,215",5.47%,-22.22%
Virginia Beach city,52.05%,73,"$113,486,910",12.75%,-3.03%
Warren County,75.00%,16,"$6,531,441",14.21%,-30.43%
Washington County,86.67%,30,"$42,099,204",1.70%,-46.00%
Waynesboro city,66.67%,12,"$4,753,451",4.85%,-15.52%
Westmoreland County,85.71%,7,"$1,938,433",16.78%,-36.96%
Williamsburg city,91.67%,12,"$65,067,474",0.78%,-19.45%
Winchester city,53.85%,39,"$57,648,703",11.39%,-0.66%
Wise County,75.00%,12,"$5,476,957",24.50%,-13.36%
Wythe County,88.89%,9,"$2,974,377",7.38%,-16.68%
York County,25.00%,4,"$2,522,506",7.42%,3.59%
